name,type,start_time,duration,"value"
"JTAG","v1frame",7.894701312,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.894701594,0.000000219,"Capture-IR"
"JTAG","v1frame",7.894701844,0.000001625,"Shift-IR
0x11 (5)
0x10 (5)"
"JTAG","v1frame",7.8947035,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.894703938,0.00000025,"Update-IR"
"JTAG","v1frame",7.894704219,0.000155062,"Run-Test/Idle"
"JTAG","v1frame",7.894859313,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.894859594,0.00000025,"Capture-DR"
"JTAG","v1frame",7.894859875,0.000011406,"Shift-DR
0x04000000000 (41)
0x0400FFC0004 (41)"
"JTAG","v1frame",7.894871313,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.89487175,0.00000025,"Update-DR"
"JTAG","v1frame",7.894872031,0.000166469,"Run-Test/Idle"
"JTAG","v1frame",7.895038531,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.895038781,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.895039063,0.000000219,"Capture-IR"
"JTAG","v1frame",7.895039312,0.000001656,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.895041,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.895041437,0.000000219,"Update-IR"
"JTAG","v1frame",7.895041688,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.895042125,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.895042406,0.000000219,"Capture-DR"
"JTAG","v1frame",7.895042656,0.000011437,"Shift-DR
0x04400000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.895054125,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.895054563,0.000000219,"Update-DR"
"JTAG","v1frame",7.895054812,0.0001865,"Run-Test/Idle"
"JTAG","v1frame",7.895241344,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.895241625,0.000000219,"Capture-DR"
"JTAG","v1frame",7.895241875,0.000011438,"Shift-DR
0x04400000000 (41)
0x044012BAA88 (41)"
"JTAG","v1frame",7.895253344,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.895253781,0.00000025,"Update-DR"
"JTAG","v1frame",7.895254063,0.000188906,"Run-Test/Idle"
"JTAG","v1frame",7.895443,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.895443281,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.895443531,0.00000025,"Capture-IR"
"JTAG","v1frame",7.895443812,0.000001625,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.895445469,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.895445906,0.000000219,"Update-IR"
"JTAG","v1frame",7.895446156,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.895446594,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.895446875,0.000000219,"Capture-DR"
